,BASIN,OUTLET_STR,BUILDING,DRIVEWAY,LAWN,ROADWAY,SIDEWALK,SUM,CN
0,POND B,POND-B,8.2670262530645,0.0,9279.154413735703,0.0,0.0,9287.421439988768,39.05251775770944
1,POND B,212-CB,4291.6955262956,399.999999890317,1671.5761918056048,2779.69032486301,973.2197289041486,10116.18177175868,84.3759866701346
2,POND B,211-CB,4300.000000211437,337.4229825699893,7576.725245119975,1201.5917915787775,453.73671815889674,13869.476737639076,63.384833845169176
3,POND B,210-CB,0.0,0.0,3916.246424514382,3503.2820366992373,1221.7274942889298,8641.25595550255,71.26100045685884
4,POND B,208-CB,0.0,0.0,4026.4302701421075,5121.030105034695,1839.3839660562423,10986.844341233045,76.37783274612926
5,POND B,203-CB,13759.99727050282,2699.9767769961663,7785.508749009608,2759.1514539999607,0.0,27004.634250508556,71.1919072251994
6,POND B,205-CB,7740.041169007665,479.26651349843786,1.4718044491490723e-17,14389.729115931006,0.0,22609.03679843711,95.92259534355335
7,POND B,204-CB,0.0,0.0,2566.16478980625,0.0,1141.106466993471,3707.2712567997214,57.16033327184504
8,POND B,206-CB,12900.000000518097,1120.733486008626,7389.9977380590835,2345.361381596492,842.235940079715,24598.328546262015,75.8098033308333
9,POND B,201-CB,10291.324960475704,1599.9918730023762,7158.994345487779,3748.0224254947025,1314.539330017389,24112.87293447795,73.98047020312261
10,POND B,207-CB,12900.000000365084,1199.999999675279,6110.482247520865,2721.7360965290936,913.6659787112225,23845.884322801543,77.94964472276965
11,POND A,108-CB,24033.816425332676,2512.5377601467035,12312.592428986469,7053.635596670596,1800.1602403839593,47712.742451520404,77.61400657711337
12,POND A,108-CB,24033.816425332676,2512.5377601467035,12312.592428986469,7053.635596670596,1800.1602403839593,47712.742451520404,77.61400657711337
13,POND A,104-CB,21351.886459339985,1068.2217445968793,1295.1459538916322,7888.667360167053,0.15645349962491856,31604.07797149517,92.26974764416667
14,POND A,102-CB,10318.255815016455,1200.2330070050218,5108.505630511301,4371.080572995712,1102.8550704854542,22100.93009601394,79.04040576273155
15,POND B,209-CB,4300.000000065898,361.62794828297126,3099.392883421849,1875.1209119592963,680.7420526442054,10316.88379637422,76.84014947126367
16,POND A,109-CB,12999.50500919113,1161.3084968440908,21264.918902976075,5792.926757642747,1366.4324854135466,42585.09165206759,65.86578600917797
17,POND A,112-CB,10267.767777707453,781.3799374689748,9363.69186408816,2724.1870649847106,738.9503284165512,23875.976972665852,71.65414388808874
18,POND A,116-CB,12985.40655322317,1169.1473863996848,7476.920332646709,3440.654443364926,940.2675407619603,26012.396256396452,76.63654166975583
19,NOT CAPTURED,501-CB,8591.191048744495,790.1054647652679,9406.038475397629,4888.287464855845,1122.6021811786302,24798.224634941867,72.49871452876533
20,POND A,115-CB,12900.00046005773,1199.9999999400122,16424.910562018114,3377.785589570467,950.7005895726755,34853.397201158994,66.82169858847922
21,NOT CAPTURED,500-CB,11169.10905166667,1170.316394346367,9896.298134085473,4965.575224385815,1040.2303581056924,28241.529162590014,73.26434944314747
22,POND A,POND-A,52.612488210635256,0.0,17968.409941136702,0.0,0.0,18021.022429347337,39.172250870703785
23,POND A,218-CB,12841.313098369348,1365.2183483811964,7381.68614010798,5108.788289349443,1219.5463542583357,27916.552230466303,77.60669083675673
24,POND A,219-CB,12900.000000238659,1135.9089747576702,11566.10204305383,5182.590266769072,1159.6616788801998,31944.262963699428,73.1530000561169
25,POND A,110-CB,8600.00000004705,339.7086762328902,4125.052915666367,2277.1316375070173,759.1003331871888,16100.993562640515,80.81661493629178
26,POND A,107-CB,15232.428966631654,1677.0154893760837,7814.462124028096,4191.780119608039,1094.6171021393263,30010.303801783204,77.16046477212424
27,POND A,106-CB,4773.725528256794,1879.9179982096857,19539.442891402945,2.710505431213761e-20,0.8367139155399534,26193.923131784966,46.95537076708944
28,POND A,103-CB,10852.17584703942,1242.1546374985421,9261.88272945501,4545.259304493822,1390.3683559785532,27291.84087446535,73.5171430690165
29,POND A,100-CB,0.0,0.0,2381.467545039177,6652.630594472514,1537.793689488087,10571.891828999778,84.70941895452547
30,POND A,101-CB,0.0,0.0,2423.266932501932,5919.033494987243,1443.4780279933238,9785.7784554825,83.38974189247936
31,POND A,113-CB,4306.850100159305,399.99999996346276,6410.543916617149,2517.741314418328,596.2175514684407,14231.352882626685,68.66883981308547
32,POND A,111-CB,0.0,0.0,942.8886572687674,2123.7103925238125,707.9941773079787,3774.5932271005586,83.2618739472519
33,POND B,213-CB,3439.9999999863835,400.0998963518633,6175.384906124476,6745.865785047209,1962.3577588918558,18723.70834640179,76.44671088452519
34,POND A,214-CB,0.0,0.0,1835.7149717437921,4957.869258417873,1459.9567693625418,8253.540999524208,84.87748890577663
